COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
ARVIEU,12011001,733,ARVIEU,44.167667,12,2.618833,0,0
SAINT GENIEZ D'OLT ET D'AUBRAC,12014001,1076,AURELLE-VERLAC_SAPC,44.5335,12,3.007667,0,1
LE BAS SEGALA,12021001,500,BASTIDE EVEQUE,44.341333,12,2.139167,0,1
LA BASTIDE-SOLAGES,12023001,230,BASTIDE SOLAGES,43.951167,12,2.503,0,1
BRUSQUE,12039001,858,BRUSQUE_SAPC,43.7495,12,2.938667,0,1
CANET-DE-SALARS,12050001,860,CANET-DE-SALARS_SAPC,44.2335,12,2.737167,0,1
L'HOSPITALET-DU-LARZAC,12063003,794,MILLAU-LARZAC_SAPC,43.987,12,3.181833,0,1
COLOMBIES,12068001,647,COLOMBIES,44.357833,12,2.317167,0,1
CORNUS,12077002,718,CORNUS,43.922333,12,3.192167,1,1
DURENQUE,12092001,812,DURENQUE_SAPC,44.111833,12,2.6445,0,1
ENTRAYGUES-SUR-TRUYERE,12094002,264,ENTRAYGUES SUR,44.635833,12,2.559667,0,1
ESPALION,12096001,359,ESPALION,44.5095,12,2.768667,0,0
FLAVIN,12102001,657,FLAVIN,44.279333,12,2.606333,0,1
LAGUIOLE,12119001,1030,LAGUIOLE,44.682667,12,2.852833,0,1
MILLAU,12145001,712,MILLAU,44.1185,12,3.0195,1,1
MONTEILS,12150001,268,MONTEILS,44.265667,12,1.991667,0,1
MONTLAUR,12154003,374,MONTLAUR,43.891667,12,2.836333,1,1
PEUX-ET-COUFFOULEUX,12179001,830,PEUX-ET-COUFFOULEUX_SAPC,43.761833,12,2.867167,0,1
PRADINAS,12189001,564,PRADINAS_SAPC,44.242167,12,2.255833,0,0
SAINT-COME-D'OLT,12216001,380,ST-COME-D'OLT,44.514667,12,2.827833,0,1
SAINT GENIEZ D'OLT ET D'AUBRAC,12224001,420,ST-GENIEZ-D'OLT,44.463667,12,2.967667,0,0
